epoch,loss,val_loss
0,5.072398919217727,4.512920092835146
1,4.325752230952768,4.00976243019104
2,3.9443154370083526,3.7076905538054072
3,3.678066116220811,3.457246016754824
4,3.4503074891426984,3.6548990488052366
5,3.2664782404899597,3.1015740689109355
6,3.151313398515477,2.908266007900238
7,3.020098454811994,2.777152165595223
8,2.901269072294235,2.697794806957245
9,2.73800827405032,2.598762642285403
10,2.6576677129549138,2.433912762473611
11,2.4975776626783257,2.342336511261323
12,2.449681064311196,2.238200765146929
13,2.3409825808861675,2.186348116047242
14,2.3190165505689735,2.091443576181636
15,2.185467359949561,2.0403419775121354
16,2.133974855086383,1.9783238835194532
17,2.077532520714928,1.9316319767166585
18,1.9978272381950828,1.888756147552939
19,1.9411983205991632,1.8298726113403545
