epoch,loss,val_loss
0,5.460167774787316,5.243097580396212
1,5.185342495258038,5.136001421855046
2,5.239230210964497,5.042919122255766
3,5.045507871187651,4.943434586891761
4,4.96159867139963,4.792965412139893
5,4.801078594647921,4.666392032916729
6,4.660168335987971,4.589410928579477
7,4.543955729557918,4.405431839135977
8,4.4087176873133735,4.229598210408137
9,4.294495655940129,4.119731774696937
10,4.172456493744483,4.012243390083313
11,4.0863232887708225,3.9153717481173
12,3.9644446464685292,3.807650822859544
13,3.8563693211628842,3.701385727295509
14,3.727184194784898,3.5663897532683153
15,3.6186248705937314,3.4350042893336368
16,3.5320004316476674,3.3453309535980225
17,3.384051561355591,3.29288426729349
18,3.314652131153987,3.1428023118239183
19,3.18721381517557,3.025004689510052
